SYM_ROOT,DATE,pre_market_price_mean,post_market_price_mean,pre_market_price_std,post_market_price_std,pre_market_price_min,post_market_price_min,pre_market_price_max,post_market_price_max
JPM,2019-04-08,99.9268828871893,103.87897223427332,20.550134392488637,9.664966478277483,25.45,25.62,105.99,105.5
JPM,2019-04-09,102.85382503234153,101.49926715817693,12.362835401174939,16.243836025958757,25.45,25.51,104.95,105.7
JPM,2019-04-10,100.0917963226076,103.99737756410256,19.707166890031424,8.89162531718996,25.59,25.45,105.57,105.4531
JPM,2019-04-11,103.47229332129965,104.6783683446273,14.69138251723079,9.876612892328893,25.55,25.54,106.49,106.11
JPM,2019-04-12,106.35320755013763,109.0701759813706,19.515518057219445,3.0561743508238925,25.55,25.57,111.5,109.9575
JPM,2019-04-15,105.85600948196115,109.93372538238943,18.01504169412346,6.175842229665881,25.57,25.55,110.35,111.69
JPM,2019-04-16,108.14724035820896,109.04748132956153,15.399471128417531,8.87246327223814,25.69,25.59,111.34,110.5
JPM,2019-04-17,112.09062552419356,110.81322115072935,13.85888688862855,9.388084816684913,25.69,25.98,114.5,112.1
JPM,2019-04-18,107.9789734899329,112.74184177631578,21.124265843558533,12.253359762741333,25.68,25.72,113.69,114.83
JPM,2019-04-22,108.51920542986426,110.2941581239531,20.578288586208227,14.822926436164174,25.78,25.68,114.02,113.46
JPM,2019-04-23,106.6277922905028,110.747073960217,23.965292885595815,14.594190429996537,25.72,25.75,113.99,114.18
JPM,2019-04-24,110.71345295836377,110.96813224789916,15.563961019274943,13.63275145870822,25.69,25.76,114.12,114.0
JPM,2019-04-25,109.70598555205048,111.2889220609579,18.19640874120239,12.207831929643344,25.65,25.96,113.93,113.62
JPM,2019-04-26,108.6583486764706,112.76338436532507,21.788754136737555,10.292797438859028,25.56,25.65,114.58,114.4
JPM,2019-04-29,107.03787911576498,112.78884301675977,27.205816065976165,12.537742986675026,25.61,25.59,117.0,114.88
JPM,2019-04-30,111.1020946553295,113.99612732644019,20.690597440221964,14.130668343750484,25.67,25.61,116.69,116.71
JPM,2019-05-01,110.91375757281553,113.79749860557769,19.013405214183805,13.791886097093013,25.38,25.56,115.9252,118.0
JPM,2019-05-02,112.78214191666666,112.60713313492063,15.062494783682356,15.20597025345438,25.31,25.45,115.65,115.57
JPM,2019-05-03,113.75435998685938,114.64255187601958,14.446331195250746,11.443973719262633,25.4,25.38,116.63,116.42
JPM,2019-05-06,112.76969388594944,112.99514242424243,14.173706310943505,9.495325375649287,25.4,25.3,115.4,116.12
JPM,2019-05-07,111.70838627100464,113.08201623616236,10.742682562040102,8.707498877690554,25.37,25.4,113.64,115.09
JPM,2019-05-08,110.92278259717315,111.70560926829268,12.124342702544972,9.233629245535147,25.405,25.35,113.235,113.5
JPM,2019-05-09,110.47931607243916,110.32170240160107,12.884334501852683,8.506414441118329,25.35,25.39,112.95,112.61
JPM,2019-05-10,110.9320071748879,110.51200337268129,11.604444000761093,10.527008967311673,25.36,25.35,112.66,112.52
JPM,2019-05-13,107.99358848292296,109.19096648865153,10.95591207240142,8.954027341765602,25.33,25.34,109.56,112.51
JPM,2019-05-14,108.08107971491228,108.0302347394541,13.670999459810224,11.681118023350221,25.4195,25.32,110.5,110.39
JPM,2019-05-15,106.80303980317113,106.97187992424243,15.868787731185716,13.419275656453474,25.53,25.4,110.37,110.62
JPM,2019-05-16,108.5951425136612,108.40025958549222,15.08571177114971,13.914904550343875,25.63,25.55,111.5159,111.06
JPM,2019-05-17,106.52582614770459,108.55930080428955,18.489362316752533,11.419187093070574,25.51,25.55,110.88,111.33
JPM,2019-05-20,107.31599421800948,106.95387677165354,18.147207881195783,16.790184870743378,25.48,25.55,111.71,111.01
JPM,2019-05-21,106.01841093350383,110.35719649923897,21.45402559954932,9.968844282504069,25.52,25.51,111.85,112.16
JPM,2019-05-22,106.932297110904,107.85422210526315,17.74452293979301,17.1629324733443,25.55,25.55,111.025,111.89
JPM,2019-05-23,106.74476662087912,107.14752785234899,11.978089762299867,13.762357653611119,25.52,25.55,110.82,110.82
JPM,2019-05-24,106.96443149466192,108.21213693693693,14.876189618947938,9.949438867624684,25.51,25.53,109.96,109.65
JPM,2019-05-28,105.5324403903016,107.87695968379447,15.504293503901394,11.043329861887258,25.45,25.56,108.9971,109.84
JPM,2019-05-29,103.96196514607892,106.49298982857142,18.27371166106824,8.649027018644594,25.42,25.45,108.35,108.52
JPM,2019-05-30,104.46508482587063,106.23538763326226,14.214467064338171,14.066122003812167,25.45,25.46,107.895,108.99
JPM,2019-05-31,102.68784135687733,104.62045344467641,15.756414516490771,6.503729712508179,25.46,25.43,106.14,107.06
JPM,2019-06-03,105.22045230938417,101.3446921904762,9.792000357253455,17.937163991833263,25.24,25.53,106.97,106.6
JPM,2019-06-04,105.17919809018566,105.88755312916112,19.119089623601667,12.489420107239038,25.49,25.52,110.0,108.15
JPM,2019-06-05,105.1439637862797,107.14752788259958,19.873759672647587,14.606519592675626,25.48,25.53,110.2,110.79
JPM,2019-06-06,108.09429828955406,108.12280308747856,13.792353747141659,12.37413696644001,25.51,25.52,110.5,110.44
JPM,2019-06-07,107.34072276029056,107.88629845360825,12.277634687089424,12.353928583161151,25.53,25.53,109.53,111.0
JPM,2019-06-10,107.22723227808815,109.30844363207548,15.97071673318088,10.004389566434542,25.47,25.53,110.8117,111.0
JPM,2019-06-11,108.44463947990543,109.59917583798884,13.663282253377163,10.429868799185003,25.34,25.52,110.8709,111.8
JPM,2019-06-12,106.95562854092526,109.44645490196078,13.493839944763321,10.044972309596071,25.51,25.5,109.49,110.95
JPM,2019-06-13,107.20198786982247,105.39850384615384,13.569715078735834,18.086930147662034,25.54,25.5128,109.76,109.81
JPM,2019-06-14,106.00515448895027,107.63960064239829,17.58576037399192,12.698343623677847,25.56,25.58,110.0,109.78
JPM,2019-06-17,106.56866795986622,108.77159977528089,14.495452829217374,9.677160786993245,25.66,25.6,109.6165,110.4
JPM,2019-06-18,108.97648812553011,108.08684055555555,12.0564620445178,10.192253511725564,25.68,25.72,111.14,109.5584
