SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK,OPEN,HIGH,LOW,CLOSE,VOLUME,pre_market_price_mean,post_market_price_mean,pre_market_price_std,post_market_price_std,pre_market_price_min,post_market_price_min,pre_market_price_max,post_market_price_max
AAPL,2019-02-19,1296249.0,3459856.0,Tuesday,40.652950567331295,41.06736001881353,40.60025067695256,40.9451904296875,75891200.0,170.88613020481122,169.90250071599044,0.0443225101561551,0.329439658233111,169.964,169.41,171.0,170.61
AAPL,2019-02-20,650643.0,4972436.0,Wednesday,41.00747866611334,41.51770781819568,40.95957066639744,41.20869445800781,104457600.0,171.9368331928544,171.10084554973824,0.0712381326370845,0.2580496862054288,171.79,170.14,172.306401,171.5
AAPL,2019-02-21,742048.0,2638448.0,Thursday,41.15360105511571,41.29013903910054,40.79428556916617,40.97633743286133,68998800.0,171.03342237109214,171.81952935455348,0.0460295647996539,0.1623970265931217,170.76,171.5,171.14,172.4
AAPL,2019-02-22,735059.0,6588473.0,Friday,41.100899072957226,41.4410506104486,41.052991074957,41.43386459350586,75652800.0,172.81381858146383,171.71544099443673,0.0889535627327972,0.2434442995639169,171.38,170.7973,173.09,172.33
AAPL,2019-02-25,1289433.0,3451161.0,Monday,41.71891347545296,42.12853097693496,41.668607712126914,41.73567962646485,87493600.0,174.11536670633737,174.1524654098668,0.1669260119145855,0.2286275337114752,173.5,172.97,174.39,174.68
AAPL,2019-02-26,899822.0,4134967.0,Tuesday,41.6111238651416,41.99199734395085,41.48176826337716,41.75963973999024,68280800.0,174.21560863948324,173.5421467623498,0.0700109776042133,0.1362940240356549,173.91,172.4645,174.35,174.23
AAPL,2019-02-27,802100.0,7171457.0,Wednesday,41.491348893626935,41.92013033276674,41.3763653330096,41.88898849487305,111341600.0,174.87803085255354,173.70995379975872,0.0702747314595528,0.4638370050104581,173.8941,154.44,176.69,174.76
AAPL,2019-02-28,684056.0,13760852.0,Thursday,41.757243726707344,41.898573578956274,41.42188048060764,41.47697448730469,112861600.0,173.28335874668687,174.30266898705935,0.0836471588317779,0.1995841082934049,173.01,173.46,173.8011,174.87
AAPL,2019-03-01,636224.0,8276485.0,Friday,41.74765532203264,41.9560570694425,41.41468988811405,41.91294097900391,103544800.0,174.93968431587606,174.25108169144983,0.0629893438968181,0.163421055028734,174.2997,173.15,175.12,174.63
AAPL,2019-03-04,1082949.0,4424598.0,Monday,42.08542473250484,42.57888406995493,41.67340935935998,42.12375259399414,109744800.0,175.84267610451306,175.8890169925175,0.078818543278625,0.1239090700266537,175.37,174.97,176.262,176.13
