SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK,OPEN,HIGH,LOW,CLOSE,VOLUME
AAPL,2019-08-14,2106896.0,7590292.0,Wednesday,49.0387057984706,49.83043100155141,48.90111758734896,48.93973922729492,146189600.0
AAPL,2019-08-15,1762981.0,4194911.0,Thursday,49.11113069191211,49.5166469464052,48.19629928116274,48.69595718383789,108909600.0
AAPL,2019-08-16,2657444.0,5769556.0,Friday,49.30905396929552,50.00422881287805,49.20284629228568,49.84491729736328,110481600.0
AAPL,2019-08-19,1735781.0,4318031.0,Monday,50.83940847564909,51.34871996268929,50.69699528831392,50.77423858642578,97654400.0
AAPL,2019-08-20,1004758.0,7239225.0,Tuesday,50.90216416490711,51.49837245736053,50.76699209074424,50.77664566040039,107537200.0
AAPL,2019-08-21,975453.0,4164819.0,Wednesday,51.41147260322705,51.57078043383245,51.0759549089862,51.32698822021485,86141600.0
AAPL,2019-08-22,849154.0,5323236.0,Thursday,51.45974498915605,51.7614696502556,50.87077786138375,51.283538818359375,89014800.0
AAPL,2019-08-23,1348134.0,8656670.0,Friday,50.55215964287231,51.18457709703032,48.517330103465945,48.91319274902344,187272000.0
AAPL,2019-08-26,1918594.0,4187803.0,Monday,49.69043218297926,50.011467671142654,49.49732765916848,49.84250259399414,104174400.0
AAPL,2019-08-27,1079996.0,10863192.0,Tuesday,50.17320243240788,50.33975507394486,49.1280275177332,49.28009796142578,103493200.0
AAPL,2019-08-28,902533.0,2616759.0,Wednesday,49.26561132852902,49.65664536777837,49.07733540717467,49.610782623291016,63755200.0
AAPL,2019-08-29,1200220.0,4038335.0,Thursday,50.3276766176956,50.52560977566885,49.883538772750256,50.45077896118164,83962000.0
AAPL,2019-08-30,1088899.0,7033972.0,Friday,50.72837130541788,50.79836981530883,50.01388559438315,50.38561248779297,84573600.0
AAPL,2019-09-03,1062036.0,3102841.0,Tuesday,49.82800437917883,49.96076393662644,49.29455736174597,49.651798248291016,80092000.0
AAPL,2019-09-04,944240.0,4274132.0,Wednesday,50.30113143476312,50.5642345069654,50.04285698937241,50.49423599243164,76752400.0
AAPL,2019-09-05,1379437.0,4918337.0,Thursday,51.17250244285144,51.64802080265734,51.05422504994603,51.4814682006836,95654800.0
AAPL,2019-09-06,995131.0,3328211.0,Friday,51.66733466797025,51.75664399416829,51.29560780159514,51.47664260864258,77449200.0
AAPL,2019-09-09,968490.0,5781033.0,Monday,51.85802832340247,52.24423742435234,50.94802925254775,51.69630432128906,109237600.0
AAPL,2019-09-10,757597.0,5947779.0,Tuesday,51.6214664352954,52.32629476709724,51.10250151690624,52.30698394775391,127111600.0
AAPL,2019-09-11,1624963.0,5512189.0,Wednesday,52.637686761033,53.999068478984455,52.55561484229116,53.97010040283203,177158400.0
AAPL,2019-09-12,2182407.0,6445142.0,Thursday,54.26217587434751,54.65320994361384,53.793898506717696,53.84941482543945,128906800.0
AAPL,2019-09-13,2438722.0,4310023.0,Friday,53.10354736328125,53.29423575367592,52.38423670755513,52.80182266235352,159053200.0
AAPL,2019-09-16,1254601.0,3673254.0,Monday,52.55560555694501,53.13491909652476,52.5145714464053,53.07939910888672,84632400.0
AAPL,2019-09-17,587426.0,3994894.0,Tuesday,53.09389567121951,53.30148242012604,52.8911338658212,53.27251434326172,73274800.0
AAPL,2019-09-18,917282.0,4301842.0,Wednesday,53.35940621834536,53.79147802752684,52.96837220728765,53.77216720581055,101360000.0
AAPL,2019-09-19,976483.0,3490374.0,Thursday,53.588711880171566,54.011126402538544,53.19284927510844,53.33526611328125,88242400.0
AAPL,2019-09-20,12231703.0,43948945.0,Friday,53.43664893268685,53.72147526283461,52.492853249204686,52.55561065673828,221652400.0
AAPL,2019-09-23,838810.0,4874729.0,Monday,52.85009486276398,53.06492269024206,52.53630045506858,52.794578552246094,76662000.0
AAPL,2019-09-24,1063362.0,6764041.0,Tuesday,53.35216457100263,53.70458061816006,52.42526723714453,52.54354095458984,124763200.0
AAPL,2019-09-25,973613.0,5011684.0,Wednesday,52.753552024265126,53.46562164360832,52.41320564812769,53.3521728515625,87613600.0
AAPL,2019-09-26,816814.0,4933769.0,Thursday,53.1035477708213,53.33044533696633,52.82113389056512,53.076995849609375,75334000.0
AAPL,2019-09-27,536102.0,3497792.0,Friday,53.233883887799145,53.33526661530435,52.44698729609294,52.8187141418457,101408000.0
AAPL,2019-09-30,1348756.0,5621990.0,Monday,53.32077964735439,54.20905894840177,53.294227730343565,54.06181716918945,103909600.0
AAPL,2019-10-01,1542823.0,4885624.0,Tuesday,54.32733647750223,55.08768113804096,54.11733361218703,54.21147155761719,139223200.0
AAPL,2019-10-02,1041513.0,6171299.0,Wednesday,53.84217102356307,53.96768953552069,52.60389162216772,52.852516174316406,138449200.0
AAPL,2019-10-03,786204.0,5194490.0,Thursday,52.72457818852778,53.33527235801911,51.928027942473314,53.30147933959961,114426000.0
