Date,SYM_ROOT,EWO,EWO_lag_1,EWO_lag_2
2019-11-15,ABBV,0.05206269590245001,0.04821965352778217,0.04571059436874679
2019-11-18,ABBV,0.0532844226840427,0.05206269590245001,0.04821965352778217
2019-11-19,ABBV,0.05422902491092123,0.0532844226840427,0.05206269590245001
2019-11-20,ABBV,0.0541136622120566,0.05422902491092123,0.0532844226840427
2019-11-21,ABBV,0.05183137167430059,0.0541136622120566,0.05422902491092123
2019-11-22,ABBV,0.04812120401541601,0.05183137167430059,0.0541136622120566
2019-11-25,ABBV,0.0429698405231472,0.04812120401541601,0.05183137167430059
2019-11-26,ABBV,0.03929343606631431,0.0429698405231472,0.04812120401541601
2019-11-27,ABBV,0.035116549818004585,0.03929343606631431,0.0429698405231472
2019-11-29,ABBV,0.0335912219087966,0.035116549818004585,0.03929343606631431
2019-12-02,ABBV,0.03247106648857106,0.0335912219087966,0.035116549818004585
2019-12-03,ABBV,0.03126211905965446,0.03247106648857106,0.0335912219087966
2019-12-04,ABBV,0.027088856038468362,0.03126211905965446,0.03247106648857106
2019-12-05,ABBV,0.024307211226104013,0.027088856038468362,0.03126211905965446
2019-12-06,ABBV,0.0204070583641355,0.024307211226104013,0.027088856038468362
2019-12-09,ABBV,0.01752174019304386,0.0204070583641355,0.024307211226104013
2019-12-10,ABBV,0.015143314462072224,0.01752174019304386,0.0204070583641355
2019-12-11,ABBV,0.014275930318859105,0.015143314462072224,0.01752174019304386
2019-12-12,ABBV,0.01220635070961096,0.014275930318859105,0.015143314462072224
2019-12-13,ABBV,0.012668894666204836,0.01220635070961096,0.014275930318859105
2019-12-16,ABBV,0.011801475649668887,0.012668894666204836,0.01220635070961096
2019-12-17,ABBV,0.013058520893501164,0.011801475649668887,0.012668894666204836
2019-12-18,ABBV,0.015091482728365075,0.013058520893501164,0.011801475649668887
2019-12-19,ABBV,0.016249897285335987,0.015091482728365075,0.013058520893501164
