SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK,OPEN,HIGH,LOW,CLOSE,VOLUME,DIFF_O&C,DIFF_H&L,PREV_POST_MARKET_VOLUME
V,2019-01-23,11245.0,1489014.0,Wednesday,133.10003954804577,133.30145102109563,130.58707944195478,131.4119415283203,5465800.0,-1.6880980197254587,2.7143715791408454,2883219.0
V,2019-01-24,163967.0,1071296.0,Thursday,131.50787110222984,132.66843857543913,130.94198121813156,132.07376098632812,4924800.0,0.5658898840982829,1.7264573573075666,1489014.0
V,2019-01-25,194485.0,7482833.0,Friday,133.3206535475777,134.183874946629,132.07376681035328,133.00413513183594,9756300.0,-0.3165184157417684,2.110108136275727,1071296.0
V,2019-01-28,226827.0,5638680.0,Monday,131.89149300539572,131.89149300539572,129.301814852249,130.43360900878906,9857200.0,-1.457883996606654,2.589678153146707,7482833.0
V,2019-01-29,151180.0,1814252.0,Tuesday,131.00910091189047,131.10502089181983,128.63043469005024,129.48406982421875,7457700.0,-1.5250310876717208,2.474586201769597,5638680.0
V,2019-01-30,175963.0,1918589.0,Wednesday,130.5391021523902,132.26554432610098,129.973197812669,131.97781372070312,8078100.0,1.4387115683129252,2.2923465134319656,1814252.0
V,2019-01-31,728430.0,6146784.0,Thursday,128.89898946376718,130.18423520097755,127.85352903433488,129.49365234375,20095700.0,0.5946628799828204,2.3307061666426705,1918589.0
V,2019-02-01,275460.0,2261921.0,Friday,129.85810829800045,134.61545442335557,129.7334152761551,134.42361450195312,13248300.0,4.56550620395268,4.882039147200459,6146784.0
V,2019-02-04,147510.0,10829543.0,Monday,134.07833750412698,135.73766226305992,133.49326080593278,135.71847534179688,11882700.0,1.6401378376698972,2.2444014571271396,2261921.0
V,2019-02-05,223903.0,2009616.0,Tuesday,136.19807713348447,137.10925852526802,136.03502485371993,136.7064208984375,8455700.0,0.5083437649530254,1.074233671548086,10829543.0
V,2019-02-06,161611.0,2434673.0,Wednesday,136.1596903543204,136.6008871078209,135.28686835520728,135.70889282226562,6146900.0,-0.45079753205476436,1.3140187526136344,2009616.0
V,2019-02-07,196985.0,6799840.0,Thursday,134.20308570306372,135.29650649917966,133.52210338930436,134.44287109375,10675300.0,0.23978539068627924,1.7744031098752941,2434673.0
V,2019-02-08,124084.0,2765359.0,Friday,133.02335072399228,134.6634746627022,132.86029840838214,134.64430236816406,5950700.0,1.6209516441717824,1.8031762543200784,6799840.0
V,2019-02-11,180206.0,5472791.0,Monday,135.48828539473263,136.47619969455124,134.7113833371407,135.04708862304688,7600100.0,-0.4411967716857532,1.7648163574105524,2765359.0
V,2019-02-12,23208.0,2279191.0,Tuesday,135.99660612230906,136.96534797137735,135.47867638311584,136.18844604492188,6090000.0,0.19183992261281446,1.4866715882615154,5472791.0
V,2019-02-13,201329.0,1519799.0,Wednesday,137.05170660280626,138.78775010068424,137.03251967795617,137.627197265625,6885600.0,0.5754906628187371,1.7552304227280615,2279191.0
V,2019-02-14,183485.0,2286556.0,Thursday,137.3774300650462,137.85783793387435,136.8201551778994,137.55038452148438,6314000.0,0.17295445643816265,1.0376827559749415,1519799.0
V,2019-02-15,510644.0,2949713.0,Friday,138.88584116837686,139.2317352294922,138.18445017198732,139.2317352294922,6536000.0,0.34589406111533094,1.0472850575048653,2286556.0
V,2019-02-19,206624.0,6344128.0,Tuesday,138.7609614712813,139.20294301614177,138.37664116687384,138.78018188476562,8406700.0,0.019220413484333676,0.826301849267935,2949713.0
V,2019-02-20,126494.0,1488901.0,Wednesday,138.6936770565719,139.16446711167274,137.89619869810122,139.05877685546875,5283100.0,0.36509979889686406,1.2682684135715192,6344128.0
V,2019-02-21,128724.0,5857201.0,Thursday,138.69372843561965,139.3470759626394,137.56956135733182,138.35743713378906,8573400.0,-0.33629130183058464,1.777514605307573,1488901.0
V,2019-02-22,104302.0,6849391.0,Friday,138.76096482387197,140.54808213821684,138.76096482387197,140.15414428710938,9680800.0,1.3931794632374022,1.7871173143448686,5857201.0
V,2019-02-25,245565.0,7404235.0,Monday,141.1533840779981,141.43201407375858,140.0964813474339,140.33668518066406,9731200.0,-0.8166988973340494,1.3355327263246863,6849391.0
V,2019-02-26,205593.0,3145395.0,Tuesday,139.51039297966392,141.62418392494013,139.33745324509454,141.27828979492188,7332500.0,1.7678968152579557,2.28673067984559,7404235.0
V,2019-02-27,172230.0,7949819.0,Wednesday,140.7594447052873,141.7106571522017,140.20217005909407,141.45123291015625,9731200.0,0.6917882048689421,1.5084870931076182,3145395.0
V,2019-02-28,149176.0,2825110.0,Thursday,141.48967713487562,142.9885615440253,141.46085384439968,142.31597900390625,6250200.0,0.8263018690306296,1.5277076996256085,7949819.0
V,2019-03-01,371405.0,1389220.0,Friday,143.6034800093997,144.05504977157452,142.5657975900961,143.6130828857422,7016800.0,0.009602876342484024,1.489252181478406,2825110.0
V,2019-03-04,225460.0,2121354.0,Monday,144.1895522178685,144.30484535687808,141.19179865572443,142.1622314453125,6979700.0,-2.02732077255601,3.1130467011536496,1389220.0
V,2019-03-05,132308.0,7784896.0,Tuesday,142.20070789644154,143.44015356177766,142.0373710047853,142.1526641845703,9678600.0,-0.048043711871230244,1.4027825569923493,2121354.0
V,2019-03-06,144831.0,6599853.0,Wednesday,142.2006541634269,142.7002821885061,141.64337957023795,142.01809692382812,8186400.0,-0.1825572395987649,1.0569026182681398,7784896.0
